Model,Error_Type,n_estimators,learning_rate,max_depth,colsample_bytree,R²,RMSE,MAE
XGBoost,Train,100,0.2,15,0.7,0.9987719784757019,0.030100801916945894,0.002541045327798271
XGBoost,Train,300,0.2,15,0.8,0.9987719297557531,0.030101399013556667,0.002567863453735309
XGBoost,Train,100,0.2,15,0.8,0.9987719295092772,0.030101402034259487,0.0025679482185195154
XGBoost,Train,300,0.3,10,0.7,0.9987719278639375,0.03010142219882502,0.002587704874429098
XGBoost,Train,300,0.3,10,1.0,0.9987718471523661,0.03010241134803657,0.0026235392928302564
XGBoost,Train,300,0.1,15,0.8,0.9987717027791939,0.03010418061189887,0.0026213118093630205
XGBoost,Train,300,0.3,10,0.8,0.9987717009404401,0.030104203144782394,0.002643015389603235
XGBoost,Train,300,0.1,15,0.5,0.998771541486988,0.030106157092113613,0.002663489273325127
XGBoost,Train,300,0.1,15,0.7,0.9987715133108083,0.03010650235067212,0.002669070373338919
XGBoost,Train,300,0.2,10,0.8,0.9987715090221864,0.030106554901217487,0.002698162085615292
XGBoost,Train,300,0.2,10,1.0,0.9987712965530414,0.030109158272970928,0.0027433913878988753
XGBoost,Train,300,0.2,10,0.7,0.9987711864939779,0.030110506731611864,0.0027590482038876785
XGBoost,Train,100,0.1,20,0.5,0.99877083208788,0.030114848553139104,0.002694484155099294
XGBoost,Train,300,0.05,15,0.8,0.9987687980213487,0.030139755762294666,0.003114367577289832
XGBoost,Train,300,0.05,15,1.0,0.9987681049165792,0.03014823815172129,0.003198366941865009
XGBoost,Train,300,0.05,15,0.7,0.9987672389187373,0.030158833097156806,0.0033184666101571092
XGBoost,Train,100,0.1,15,0.5,0.9987160634211802,0.030778458308430474,0.006190109461645781
XGBoost,Train,100,0.1,15,0.7,0.9987008259018773,0.03096055612105599,0.0067045875722282775
XGBoost,Train,300,0.3,7,0.8,0.99864029817022,0.03167356276845902,0.009026467472034663
XGBoost,Train,300,0.3,7,0.7,0.9986041583246085,0.03209173199920327,0.00989899295858403
XGBoost,Train,100,0.3,10,1.0,0.9985842595372063,0.032319668576181855,0.010080851633893323
XGBoost,Train,100,0.3,10,0.5,0.9985796833037553,0.03237186141286225,0.01017517181085852
XGBoost,Train,100,0.3,10,0.7,0.9985779142487733,0.03239201529183399,0.010219854871538737
XGBoost,Train,300,0.3,7,0.5,0.9985560233500504,0.03264037664442781,0.010927600122489048
XGBoost,Train,300,0.1,10,0.5,0.9985361864671559,0.03286381334082107,0.01115016754281055
XGBoost,Train,300,0.1,10,0.8,0.9984970950856602,0.033299738924044545,0.011801909709841943
XGBoost,Train,100,0.05,20,0.7,0.9982135588551655,0.0363052500822912,0.014945957969156197
